time,water_level
2014-07-01 00:00:00,392.782
2014-07-02 00:00:00,392.793
2014-07-03 00:00:00,392.815
2014-07-04 00:00:00,392.836
2014-07-05 00:00:00,392.981
2014-07-06 00:00:00,393.213
2014-07-07 00:00:00,393.346
2014-07-08 00:00:00,393.422
2014-07-09 00:00:00,393.444
2014-07-10 00:00:00,393.414
2014-07-11 00:00:00,393.373
2014-07-12 00:00:00,393.319
2014-07-13 00:00:00,393.234
2014-07-14 00:00:00,393.155
